"","bond","coupon","maturity","price","date","ytm","yield"
"1",1,3.5,2020-06-01,100.7,2020-01-02,0.0178535043775407,0.0207460491963755
"2",2,2.25,2021-02-01,100.55,2020-01-02,0.0173385150890679,0.0167214866846168
"3",3,1.5,2021-08-01,99.73,2020-01-02,0.0167342926173957,0.0166151531247508
"4",4,2.65,2022-01-25,101.92,2020-01-02,0.0169843971183754,0.0162737759132187
"5",5,2.75,2022-06-01,102.53,2020-01-02,0.0167525339361498,0.0165879537247699
"6",6,1.75,2023-03-01,100.31,2020-01-02,0.016487240328849,0.0159940802700955
"7",7,1.5,2023-06-01,99.48,2020-01-02,0.0165722005597964,0.01609282418145
"8",8,2.25,2024-03-01,102.52,2020-01-02,0.0162117457259452,0.0152439863380329
"9",9,2.5,2024-06-01,103.53,2020-01-02,0.0166672236877541,0.0159749185273227
"10",10,1.25,2025-03-01,98.24,2020-01-02,0.0160652102908001,0.0156588939511553
"11",1,3.5,2020-06-01,100.7,2020-01-03,0.0177398388497147,0.0207460491963755
"12",2,2.25,2021-02-01,100.58,2020-01-03,0.0170452575423585,0.0164198672843794
"13",3,1.5,2021-08-01,99.76,2020-01-03,0.0165437086611346,0.0164146317481498
"14",4,2.65,2022-01-25,101.89,2020-01-03,0.0171193788993138,0.0164345466206491
"15",5,2.75,2022-06-01,102.59,2020-01-03,0.0164896379680357,0.0163443901797939
"16",6,1.75,2023-03-01,100.42,2020-01-03,0.0161285949063776,0.0156180221398563
"17",7,1.5,2023-06-01,99.59,2020-01-03,0.0162394970782156,0.0157713717163686
"18",8,2.25,2024-03-01,102.65,2020-01-03,0.0158882324647793,0.0149195743646317
"19",9,2.5,2024-06-01,103.86,2020-01-03,0.0158998628098903,0.0152216364494259
"20",10,1.25,2025-03-01,98.43,2020-01-03,0.0156784564561212,0.0152695943798518
"21",1,3.5,2020-06-01,100.69,2020-01-06,0.0176379851334182,0.0209446687903618
"22",2,2.25,2021-02-01,100.6,2020-01-06,0.0168163980503118,0.0162166388029511
"23",3,1.5,2021-08-01,99.79,2020-01-06,0.0163573297255697,0.016212214532698
"24",4,2.65,2022-01-25,101.92,2020-01-06,0.0169359174030586,0.0162868341694164
"25",5,2.75,2022-06-01,102.62,2020-01-06,0.0163272690144387,0.0162286174243373
"26",6,1.75,2023-03-01,100.48,2020-01-06,0.0159297064132815,0.0154159561053902
"27",7,1.5,2023-06-01,99.65,2020-01-06,0.0160599427539911,0.0155982879006437
"28",8,2.25,2024-03-01,102.75,2020-01-06,0.0156298151740812,0.0146692476935981
"29",9,2.5,2024-06-01,103.99,2020-01-06,0.0155836220442183,0.0149334109803385
"30",10,1.25,2025-03-01,98.58,2020-01-06,0.0153767389741839,0.014958903747989
"31",1,3.5,2020-06-01,100.69,2020-01-07,0.0175198629922147,0.0209446687903618
"32",2,2.25,2021-02-01,100.59,2020-01-07,0.0168967415461472,0.0163171480656701
"33",3,1.5,2021-08-01,99.76,2020-01-07,0.0165545954447959,0.0164146536187217
"34",4,2.65,2022-01-25,101.89,2020-01-07,0.0170715369403576,0.0164345752513002
"35",5,2.75,2022-06-01,102.59,2020-01-07,0.0164409198173834,0.0163444135214732
"36",6,1.75,2023-03-01,100.45,2020-01-07,0.0160262013145052,0.0155141626227545
"37",7,1.5,2023-06-01,99.61,2020-01-07,0.016182405970695,0.0157127262104232
"38",8,2.25,2024-03-01,102.58,2020-01-07,0.0160440937074671,0.0151061120349419
"39",9,2.5,2024-06-01,103.88,2020-01-07,0.0158321251880604,0.0151735052684793
"40",10,1.25,2025-03-01,98.48,2020-01-07,0.0155827358688376,0.0151623512605936
"41",1,3.5,2020-06-01,100.68,2020-01-08,0.0176516864941463,0.0211433081111783
"42",2,2.25,2021-02-01,100.57,2020-01-08,0.017072206225385,0.016515997051826
"43",3,1.5,2021-08-01,99.75,2020-01-08,0.0166224270869355,0.016479529749441
"44",4,2.65,2022-01-25,101.92,2020-01-08,0.0169114935662407,0.0162764486393619
"45",5,2.75,2022-06-01,102.58,2020-01-08,0.0164707331121408,0.0163845456538761
"46",6,1.75,2023-03-01,100.44,2020-01-08,0.0160576116961781,0.0155477012458598
"47",7,1.5,2023-06-01,99.62,2020-01-08,0.016152859113383,0.015681551589879
"48",8,2.25,2024-03-01,102.68,2020-01-08,0.015793559848559,0.0148426146551791
"49",9,2.5,2024-06-01,103.82,2020-01-08,0.0159654975800425,0.0153190257694745
"50",10,1.25,2025-03-01,98.48,2020-01-08,0.0155843419470338,0.0151628649972486
"51",1,3.5,2020-06-01,100.66,2020-01-09,0.0180386694164056,0.021540645948981
"52",2,2.25,2021-02-01,100.56,2020-01-09,0.0171536488258299,0.0166121369351299
"53",3,1.5,2021-08-01,99.72,2020-01-09,0.0168209371877581,0.016680114474132
"54",4,2.65,2022-01-25,102.02,2020-01-09,0.0164056350611776,0.0157591755959034
"55",5,2.75,2022-06-01,102.52,2020-01-09,0.0167112394485969,0.0166357511700743
"56",6,1.75,2023-03-01,100.35,2020-01-09,0.01635055967273,0.0158583431496789
"57",7,1.5,2023-06-01,99.54,2020-01-09,0.0163975834835592,0.0159166903945055
"58",8,2.25,2024-03-01,102.53,2020-01-09,0.0161594075627232,0.0152259917794872
"59",9,2.5,2024-06-01,103.65,2020-01-09,0.0163541276443553,0.0157007169012377
"60",10,1.25,2025-03-01,98.3,2020-01-09,0.0159550156155546,0.0155367737640692
"61",1,3.5,2020-06-01,100.65,2020-01-10,0.018175967021088,0.0217393444738075
"62",2,2.25,2021-02-01,100.52,2020-01-10,0.0175212302949754,0.0170121934184902
"63",3,1.5,2021-08-01,99.7,2020-01-10,0.0169548526377055,0.0168108948372176
"64",4,2.65,2022-01-25,102.11,2020-01-10,0.0159484105450911,0.0152920075362053
"65",5,2.75,2022-06-01,102.52,2020-01-10,0.016699264694696,0.0166380979569715
"66",6,1.75,2023-03-01,100.31,2020-01-10,0.0164805528935204,0.0159982150181495
"67",7,1.5,2023-06-01,99.53,2020-01-10,0.0164291736401014,0.0159458688652197
"68",8,2.25,2024-03-01,102.57,2020-01-10,0.0160566181133115,0.0151193171962414
"69",9,2.5,2024-06-01,103.7,2020-01-10,0.0162329878918768,0.01558360619639
"70",10,1.25,2025-03-01,98.25,2020-01-10,0.0160595228347313,0.0156457275429223
"71",1,3.5,2020-06-01,100.65,2020-01-13,0.0178180572442014,0.0217393444738075
"72",2,2.25,2021-02-01,100.53,2020-01-13,0.0173877626950709,0.0169116142765064
"73",3,1.5,2021-08-01,99.68,2020-01-13,0.0170966825507879,0.0169476188646394
"74",4,2.65,2022-01-25,102.01,2020-01-13,0.0164033059781743,0.015799734316723
"75",5,2.75,2022-06-01,102.46,2020-01-13,0.0169172112224407,0.0168730673436177
"76",6,1.75,2023-03-01,100.27,2020-01-13,0.0166093733273467,0.0161272554119716
"77",7,1.5,2023-06-01,99.44,2020-01-13,0.0167079645866499,0.0162071234940352
"78",8,2.25,2024-03-01,102.46,2020-01-13,0.0163167937638922,0.0153920461319428
"79",9,2.5,2024-06-01,103.61,2020-01-13,0.0164266385424447,0.0157736357746192
"80",10,1.25,2025-03-01,98.24,2020-01-13,0.0160856817168273,0.0156552143292705
"81",1,3.5,2020-06-01,100.64,2020-01-14,0.0179577123069894,0.0219380627411479
"82",2,2.25,2021-02-01,100.52,2020-01-14,0.0174711246238712,0.0170099933551932
"83",3,1.5,2021-08-01,99.7,2020-01-14,0.016968771387726,0.0168099269518105
"84",4,2.65,2022-01-25,101.93,2020-01-14,0.0167877641895995,0.016207397835747
"85",5,2.75,2022-06-01,102.47,2020-01-14,0.0168630155431853,0.0168233026566303
"86",6,1.75,2023-03-01,100.31,2020-01-14,0.0164771909729229,0.0159846338349266
"87",7,1.5,2023-06-01,99.49,2020-01-14,0.016556073173764,0.0160559333878415
"88",8,2.25,2024-03-01,102.54,2020-01-14,0.016114676389499,0.0151830701413042
"89",9,2.5,2024-06-01,103.7,2020-01-14,0.0162121788205578,0.0155672928665108
"90",10,1.25,2025-03-01,98.34,2020-01-14,0.0158817531505502,0.0154451150666251
"91",1,3.5,2020-06-01,100.64,2020-01-15,0.017835191926865,0.0219380627411479
"92",2,2.25,2021-02-01,100.54,2020-01-15,0.0172655055628805,0.0168088456288656
"93",3,1.5,2021-08-01,99.72,2020-01-15,0.0168404505507391,0.0166761996022695
"94",4,2.65,2022-01-25,101.91,2020-01-15,0.0168748077582794,0.0163145565751888
"95",5,2.75,2022-06-01,102.51,2020-01-15,0.0166814206074779,0.0166608130674276
"96",6,1.75,2023-03-01,100.38,2020-01-15,0.0162462570937465,0.015745433162604
"97",7,1.5,2023-06-01,99.56,2020-01-15,0.0163427612549665,0.0158514671722024
"98",8,2.25,2024-03-01,102.64,2020-01-15,0.0158629645760371,0.0149314361315321
"99",9,2.5,2024-06-01,103.8,2020-01-15,0.0159744352537463,0.0153481373592809
"100",10,1.25,2025-03-01,98.47,2020-01-15,0.0156161890477389,0.0151758312689507
